date,type,count,mean,std,min,25%,50%,75%,max
2010-06-16,keyboard,6.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-06-20,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-06-22,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-06-25,access point,2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
2010-06-29,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2010-06-30,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2010-07-01,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-03,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-07-07,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-07,keyboard,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-07-09,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-10,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-07-12,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-13,access point,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
2010-07-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-19,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-19,keyboard,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2010-07-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-22,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-24,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-25,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-26,access point,2.0,3.0,2.8284271247461903,1.0,2.0,3.0,4.0,5.0
2010-07-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-28,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-07-29,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-02,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-08-03,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-08-10,access point,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
2010-08-12,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-15,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-16,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2010-08-17,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-20,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-08-21,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-22,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-23,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2010-08-24,access point,3.0,4.666666666666667,0.5773502691896258,4.0,4.5,5.0,5.0,5.0
2010-08-25,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-26,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-08-28,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-29,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-08-30,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-08-30,keyboard,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-09-02,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-03,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-03,keyboard,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-09-04,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-05,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-06,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-07,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-09-12,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-13,access point,3.0,3.6666666666666665,2.3094010767585034,1.0,3.0,5.0,5.0,5.0
2010-09-14,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-15,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2010-09-17,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-09-17,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-18,keyboard,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-09-19,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-21,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-09-21,keyboard,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-09-22,keyboard,6.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-09-23,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-24,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-09-25,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-09-25,keyboard,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2010-09-26,access point,4.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2010-09-27,access point,2.0,3.0,2.8284271247461903,1.0,2.0,3.0,4.0,5.0
2010-09-27,keyboard,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-09-28,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2010-09-29,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2010-10-01,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-03,access point,2.0,2.5,2.1213203435596424,1.0,1.75,2.5,3.25,4.0
2010-10-04,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-06,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-10-07,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2010-10-09,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-10,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-10,keyboard,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
2010-10-12,access point,2.0,4.0,1.4142135623730951,3.0,3.5,4.0,4.5,5.0
2010-10-13,keyboard,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-10-14,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
